"d","k0","k1","seed","weight_shared","balanced","sigma2_Mu","model","b","mu_Mu","alpha_Lambda","beta_Lambda","nlabel"
50,1,5,1,0.5,"balanced",1,"SPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.5,"balanced",1,"BPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.5,"balanced",10,"SPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.5,"balanced",10,"BPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.5,"balanced",50,"SPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.5,"balanced",50,"BPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.5,"unbalanced",1,"SPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.5,"unbalanced",1,"BPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.5,"unbalanced",10,"SPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.5,"unbalanced",10,"BPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.5,"unbalanced",50,"SPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.5,"unbalanced",50,"BPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.2,"balanced",1,"SPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.2,"balanced",1,"BPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.2,"balanced",10,"SPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.2,"balanced",10,"BPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.2,"balanced",50,"SPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.2,"balanced",50,"BPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.2,"unbalanced",1,"SPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.2,"unbalanced",1,"BPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.2,"unbalanced",10,"SPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.2,"unbalanced",10,"BPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.2,"unbalanced",50,"SPM",0.00833333333333333,0,2,4,5
50,1,5,1,0.2,"unbalanced",50,"BPM",0.00833333333333333,0,2,4,5
50,2,0,2,0.5,"balanced",1,"SPM",0.025,0,2,4,5
50,2,0,2,0.5,"balanced",1,"BPM",0.025,0,2,4,5
50,2,0,2,0.5,"balanced",10,"SPM",0.025,0,2,4,5
50,2,0,2,0.5,"balanced",10,"BPM",0.025,0,2,4,5
50,2,0,2,0.5,"balanced",50,"SPM",0.025,0,2,4,5
50,2,0,2,0.5,"balanced",50,"BPM",0.025,0,2,4,5
50,2,0,2,0.5,"unbalanced",1,"SPM",0.025,0,2,4,5
50,2,0,2,0.5,"unbalanced",1,"BPM",0.025,0,2,4,5
50,2,0,2,0.5,"unbalanced",10,"SPM",0.025,0,2,4,5
50,2,0,2,0.5,"unbalanced",10,"BPM",0.025,0,2,4,5
50,2,0,2,0.5,"unbalanced",50,"SPM",0.025,0,2,4,5
50,2,0,2,0.5,"unbalanced",50,"BPM",0.025,0,2,4,5
50,2,0,2,0.2,"balanced",1,"SPM",0.025,0,2,4,5
50,2,0,2,0.2,"balanced",1,"BPM",0.025,0,2,4,5
50,2,0,2,0.2,"balanced",10,"SPM",0.025,0,2,4,5
50,2,0,2,0.2,"balanced",10,"BPM",0.025,0,2,4,5
50,2,0,2,0.2,"balanced",50,"SPM",0.025,0,2,4,5
50,2,0,2,0.2,"balanced",50,"BPM",0.025,0,2,4,5
50,2,0,2,0.2,"unbalanced",1,"SPM",0.025,0,2,4,5
50,2,0,2,0.2,"unbalanced",1,"BPM",0.025,0,2,4,5
50,2,0,2,0.2,"unbalanced",10,"SPM",0.025,0,2,4,5
50,2,0,2,0.2,"unbalanced",10,"BPM",0.025,0,2,4,5
50,2,0,2,0.2,"unbalanced",50,"SPM",0.025,0,2,4,5
50,2,0,2,0.2,"unbalanced",50,"BPM",0.025,0,2,4,5
200,1,35,3,0.5,"balanced",1,"SPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.5,"balanced",1,"BPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.5,"balanced",10,"SPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.5,"balanced",10,"BPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.5,"balanced",50,"SPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.5,"balanced",50,"BPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.5,"unbalanced",1,"SPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.5,"unbalanced",1,"BPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.5,"unbalanced",10,"SPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.5,"unbalanced",10,"BPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.5,"unbalanced",50,"SPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.5,"unbalanced",50,"BPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.2,"balanced",1,"SPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.2,"balanced",1,"BPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.2,"balanced",10,"SPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.2,"balanced",10,"BPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.2,"balanced",50,"SPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.2,"balanced",50,"BPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.2,"unbalanced",1,"SPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.2,"unbalanced",1,"BPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.2,"unbalanced",10,"SPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.2,"unbalanced",10,"BPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.2,"unbalanced",50,"SPM",0.00138888888888889,0,2,4,5
200,1,35,3,0.2,"unbalanced",50,"BPM",0.00138888888888889,0,2,4,5
200,2,30,4,0.5,"balanced",1,"SPM",0.0015625,0,2,4,5
200,2,30,4,0.5,"balanced",1,"BPM",0.0015625,0,2,4,5
200,2,30,4,0.5,"balanced",10,"SPM",0.0015625,0,2,4,5
200,2,30,4,0.5,"balanced",10,"BPM",0.0015625,0,2,4,5
200,2,30,4,0.5,"balanced",50,"SPM",0.0015625,0,2,4,5
200,2,30,4,0.5,"balanced",50,"BPM",0.0015625,0,2,4,5
200,2,30,4,0.5,"unbalanced",1,"SPM",0.0015625,0,2,4,5
200,2,30,4,0.5,"unbalanced",1,"BPM",0.0015625,0,2,4,5
200,2,30,4,0.5,"unbalanced",10,"SPM",0.0015625,0,2,4,5
200,2,30,4,0.5,"unbalanced",10,"BPM",0.0015625,0,2,4,5
200,2,30,4,0.5,"unbalanced",50,"SPM",0.0015625,0,2,4,5
200,2,30,4,0.5,"unbalanced",50,"BPM",0.0015625,0,2,4,5
200,2,30,4,0.2,"balanced",1,"SPM",0.0015625,0,2,4,5
200,2,30,4,0.2,"balanced",1,"BPM",0.0015625,0,2,4,5
200,2,30,4,0.2,"balanced",10,"SPM",0.0015625,0,2,4,5
200,2,30,4,0.2,"balanced",10,"BPM",0.0015625,0,2,4,5
200,2,30,4,0.2,"balanced",50,"SPM",0.0015625,0,2,4,5
200,2,30,4,0.2,"balanced",50,"BPM",0.0015625,0,2,4,5
200,2,30,4,0.2,"unbalanced",1,"SPM",0.0015625,0,2,4,5
200,2,30,4,0.2,"unbalanced",1,"BPM",0.0015625,0,2,4,5
200,2,30,4,0.2,"unbalanced",10,"SPM",0.0015625,0,2,4,5
200,2,30,4,0.2,"unbalanced",10,"BPM",0.0015625,0,2,4,5
200,2,30,4,0.2,"unbalanced",50,"SPM",0.0015625,0,2,4,5
200,2,30,4,0.2,"unbalanced",50,"BPM",0.0015625,0,2,4,5
200,3,25,5,0.5,"balanced",1,"SPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.5,"balanced",1,"BPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.5,"balanced",10,"SPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.5,"balanced",10,"BPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.5,"balanced",50,"SPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.5,"balanced",50,"BPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.5,"unbalanced",1,"SPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.5,"unbalanced",1,"BPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.5,"unbalanced",10,"SPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.5,"unbalanced",10,"BPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.5,"unbalanced",50,"SPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.5,"unbalanced",50,"BPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.2,"balanced",1,"SPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.2,"balanced",1,"BPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.2,"balanced",10,"SPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.2,"balanced",10,"BPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.2,"balanced",50,"SPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.2,"balanced",50,"BPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.2,"unbalanced",1,"SPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.2,"unbalanced",1,"BPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.2,"unbalanced",10,"SPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.2,"unbalanced",10,"BPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.2,"unbalanced",50,"SPM",0.00178571428571429,0,2,4,5
200,3,25,5,0.2,"unbalanced",50,"BPM",0.00178571428571429,0,2,4,5
200,4,20,6,0.5,"balanced",1,"SPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.5,"balanced",1,"BPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.5,"balanced",10,"SPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.5,"balanced",10,"BPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.5,"balanced",50,"SPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.5,"balanced",50,"BPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.5,"unbalanced",1,"SPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.5,"unbalanced",1,"BPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.5,"unbalanced",10,"SPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.5,"unbalanced",10,"BPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.5,"unbalanced",50,"SPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.5,"unbalanced",50,"BPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.2,"balanced",1,"SPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.2,"balanced",1,"BPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.2,"balanced",10,"SPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.2,"balanced",10,"BPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.2,"balanced",50,"SPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.2,"balanced",50,"BPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.2,"unbalanced",1,"SPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.2,"unbalanced",1,"BPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.2,"unbalanced",10,"SPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.2,"unbalanced",10,"BPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.2,"unbalanced",50,"SPM",0.00208333333333333,0,2,4,5
200,4,20,6,0.2,"unbalanced",50,"BPM",0.00208333333333333,0,2,4,5
200,5,15,7,0.5,"balanced",1,"SPM",0.0025,0,2,4,5
200,5,15,7,0.5,"balanced",1,"BPM",0.0025,0,2,4,5
200,5,15,7,0.5,"balanced",10,"SPM",0.0025,0,2,4,5
200,5,15,7,0.5,"balanced",10,"BPM",0.0025,0,2,4,5
200,5,15,7,0.5,"balanced",50,"SPM",0.0025,0,2,4,5
200,5,15,7,0.5,"balanced",50,"BPM",0.0025,0,2,4,5
200,5,15,7,0.5,"unbalanced",1,"SPM",0.0025,0,2,4,5
200,5,15,7,0.5,"unbalanced",1,"BPM",0.0025,0,2,4,5
200,5,15,7,0.5,"unbalanced",10,"SPM",0.0025,0,2,4,5
200,5,15,7,0.5,"unbalanced",10,"BPM",0.0025,0,2,4,5
200,5,15,7,0.5,"unbalanced",50,"SPM",0.0025,0,2,4,5
200,5,15,7,0.5,"unbalanced",50,"BPM",0.0025,0,2,4,5
200,5,15,7,0.2,"balanced",1,"SPM",0.0025,0,2,4,5
200,5,15,7,0.2,"balanced",1,"BPM",0.0025,0,2,4,5
200,5,15,7,0.2,"balanced",10,"SPM",0.0025,0,2,4,5
200,5,15,7,0.2,"balanced",10,"BPM",0.0025,0,2,4,5
200,5,15,7,0.2,"balanced",50,"SPM",0.0025,0,2,4,5
200,5,15,7,0.2,"balanced",50,"BPM",0.0025,0,2,4,5
200,5,15,7,0.2,"unbalanced",1,"SPM",0.0025,0,2,4,5
200,5,15,7,0.2,"unbalanced",1,"BPM",0.0025,0,2,4,5
200,5,15,7,0.2,"unbalanced",10,"SPM",0.0025,0,2,4,5
200,5,15,7,0.2,"unbalanced",10,"BPM",0.0025,0,2,4,5
200,5,15,7,0.2,"unbalanced",50,"SPM",0.0025,0,2,4,5
200,5,15,7,0.2,"unbalanced",50,"BPM",0.0025,0,2,4,5
200,6,10,8,0.5,"balanced",1,"SPM",0.003125,0,2,4,5
200,6,10,8,0.5,"balanced",1,"BPM",0.003125,0,2,4,5
200,6,10,8,0.5,"balanced",10,"SPM",0.003125,0,2,4,5
200,6,10,8,0.5,"balanced",10,"BPM",0.003125,0,2,4,5
200,6,10,8,0.5,"balanced",50,"SPM",0.003125,0,2,4,5
200,6,10,8,0.5,"balanced",50,"BPM",0.003125,0,2,4,5
200,6,10,8,0.5,"unbalanced",1,"SPM",0.003125,0,2,4,5
200,6,10,8,0.5,"unbalanced",1,"BPM",0.003125,0,2,4,5
200,6,10,8,0.5,"unbalanced",10,"SPM",0.003125,0,2,4,5
200,6,10,8,0.5,"unbalanced",10,"BPM",0.003125,0,2,4,5
200,6,10,8,0.5,"unbalanced",50,"SPM",0.003125,0,2,4,5
200,6,10,8,0.5,"unbalanced",50,"BPM",0.003125,0,2,4,5
200,6,10,8,0.2,"balanced",1,"SPM",0.003125,0,2,4,5
200,6,10,8,0.2,"balanced",1,"BPM",0.003125,0,2,4,5
200,6,10,8,0.2,"balanced",10,"SPM",0.003125,0,2,4,5
200,6,10,8,0.2,"balanced",10,"BPM",0.003125,0,2,4,5
200,6,10,8,0.2,"balanced",50,"SPM",0.003125,0,2,4,5
200,6,10,8,0.2,"balanced",50,"BPM",0.003125,0,2,4,5
200,6,10,8,0.2,"unbalanced",1,"SPM",0.003125,0,2,4,5
200,6,10,8,0.2,"unbalanced",1,"BPM",0.003125,0,2,4,5
200,6,10,8,0.2,"unbalanced",10,"SPM",0.003125,0,2,4,5
200,6,10,8,0.2,"unbalanced",10,"BPM",0.003125,0,2,4,5
200,6,10,8,0.2,"unbalanced",50,"SPM",0.003125,0,2,4,5
200,6,10,8,0.2,"unbalanced",50,"BPM",0.003125,0,2,4,5
200,7,5,9,0.5,"balanced",1,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"balanced",1,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"balanced",10,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"balanced",10,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"balanced",50,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"balanced",50,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"unbalanced",1,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"unbalanced",1,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"unbalanced",10,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"unbalanced",10,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"unbalanced",50,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.5,"unbalanced",50,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"balanced",1,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"balanced",1,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"balanced",10,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"balanced",10,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"balanced",50,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"balanced",50,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"unbalanced",1,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"unbalanced",1,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"unbalanced",10,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"unbalanced",10,"BPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"unbalanced",50,"SPM",0.00416666666666667,0,2,4,5
200,7,5,9,0.2,"unbalanced",50,"BPM",0.00416666666666667,0,2,4,5
200,8,0,10,0.5,"balanced",1,"SPM",0.00625,0,2,4,5
200,8,0,10,0.5,"balanced",1,"BPM",0.00625,0,2,4,5
200,8,0,10,0.5,"balanced",10,"SPM",0.00625,0,2,4,5
200,8,0,10,0.5,"balanced",10,"BPM",0.00625,0,2,4,5
200,8,0,10,0.5,"balanced",50,"SPM",0.00625,0,2,4,5
200,8,0,10,0.5,"balanced",50,"BPM",0.00625,0,2,4,5
200,8,0,10,0.5,"unbalanced",1,"SPM",0.00625,0,2,4,5
200,8,0,10,0.5,"unbalanced",1,"BPM",0.00625,0,2,4,5
200,8,0,10,0.5,"unbalanced",10,"SPM",0.00625,0,2,4,5
200,8,0,10,0.5,"unbalanced",10,"BPM",0.00625,0,2,4,5
200,8,0,10,0.5,"unbalanced",50,"SPM",0.00625,0,2,4,5
200,8,0,10,0.5,"unbalanced",50,"BPM",0.00625,0,2,4,5
200,8,0,10,0.2,"balanced",1,"SPM",0.00625,0,2,4,5
200,8,0,10,0.2,"balanced",1,"BPM",0.00625,0,2,4,5
200,8,0,10,0.2,"balanced",10,"SPM",0.00625,0,2,4,5
200,8,0,10,0.2,"balanced",10,"BPM",0.00625,0,2,4,5
200,8,0,10,0.2,"balanced",50,"SPM",0.00625,0,2,4,5
200,8,0,10,0.2,"balanced",50,"BPM",0.00625,0,2,4,5
200,8,0,10,0.2,"unbalanced",1,"SPM",0.00625,0,2,4,5
200,8,0,10,0.2,"unbalanced",1,"BPM",0.00625,0,2,4,5
200,8,0,10,0.2,"unbalanced",10,"SPM",0.00625,0,2,4,5
200,8,0,10,0.2,"unbalanced",10,"BPM",0.00625,0,2,4,5
200,8,0,10,0.2,"unbalanced",50,"SPM",0.00625,0,2,4,5
200,8,0,10,0.2,"unbalanced",50,"BPM",0.00625,0,2,4,5
800,1,155,11,0.5,"balanced",1,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"balanced",1,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"balanced",10,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"balanced",10,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"balanced",50,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"balanced",50,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"unbalanced",1,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"unbalanced",1,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"unbalanced",10,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"unbalanced",10,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"unbalanced",50,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.5,"unbalanced",50,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"balanced",1,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"balanced",1,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"balanced",10,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"balanced",10,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"balanced",50,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"balanced",50,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"unbalanced",1,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"unbalanced",1,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"unbalanced",10,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"unbalanced",10,"BPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"unbalanced",50,"SPM",0.000320512820512821,0,2,4,5
800,1,155,11,0.2,"unbalanced",50,"BPM",0.000320512820512821,0,2,4,5
800,2,150,12,0.5,"balanced",1,"SPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.5,"balanced",1,"BPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.5,"balanced",10,"SPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.5,"balanced",10,"BPM",0.000328947368421053,0,2,4,5
800,2,150,12,0.5,"balanced",50,"SPM",0.000328947368421053,0,2,4,5
